,Start_Date,End_Date,Port_Return,Benchmark_Return,Port_Return_Ann,Benchmark_Return_Ann,Port_1yr_Drawdown,Benchmark_1yr_Drawdown
0,2001-03-14,2003-04-15,-17.72%,-23.69%,-8.92%,-12.15%,-22.47%,-34.79%
1,2001-03-14,2003-08-13,-13.95%,-15.82%,-6.03%,-6.88%,-22.47%,-34.79%
2,2001-03-14,2003-12-11,-5.78%,-8.26%,-2.15%,-3.09%,-22.47%,-34.79%
3,2001-03-14,2004-04-08,-0.72%,-2.79%,-0.24%,-0.92%,-22.47%,-34.79%
4,2001-03-14,2004-08-06,-10.24%,-9.18%,-3.13%,-2.79%,-22.47%,-34.79%
5,2001-03-14,2004-12-03,2.17%,1.36%,0.58%,0.36%,-22.47%,-34.79%
6,2001-03-14,2005-04-04,3.07%,-0.02%,0.75%,-0.0%,-22.47%,-34.79%
7,2001-03-14,2005-08-02,8.09%,5.73%,1.79%,1.28%,-22.47%,-34.79%
8,2001-03-14,2005-11-30,8.66%,6.6%,1.78%,1.36%,-22.47%,-34.79%
9,2001-03-14,2006-03-30,14.48%,10.33%,2.72%,1.97%,-22.47%,-34.79%
10,2001-03-14,2006-07-28,17.19%,8.78%,3.0%,1.58%,-22.47%,-34.79%
11,2001-03-14,2006-11-24,26.62%,19.29%,4.23%,3.14%,-22.47%,-34.79%
12,2001-03-14,2007-03-23,31.32%,21.88%,4.62%,3.34%,-22.47%,-34.79%
13,2001-03-14,2007-07-23,37.9%,30.87%,5.18%,4.32%,-22.47%,-34.79%
14,2001-03-14,2007-11-20,25.41%,22.94%,3.44%,3.14%,-22.47%,-34.79%
15,2001-03-14,2008-03-19,16.02%,10.77%,2.14%,1.47%,-22.47%,-34.79%
16,2001-03-14,2008-07-17,16.02%,6.42%,2.04%,0.85%,-22.47%,-34.79%
17,2001-03-14,2008-11-14,16.02%,-26.37%,1.95%,-3.91%,-22.47%,-45.72%
18,2001-03-14,2009-03-13,16.02%,-35.33%,1.87%,-5.3%,-22.47%,-52.39%
19,2001-03-14,2009-07-10,16.64%,-25.24%,1.87%,-3.43%,-22.47%,-52.39%
20,2001-03-14,2009-11-09,42.81%,-6.87%,4.2%,-0.82%,-22.47%,-52.39%
21,2001-03-14,2010-03-09,50.43%,-2.71%,4.65%,-0.31%,-22.47%,-52.39%
22,2001-03-14,2010-07-07,38.76%,-9.81%,3.58%,-1.1%,-22.47%,-52.39%
23,2001-03-14,2010-11-04,44.69%,3.92%,3.9%,0.4%,-22.47%,-52.39%
24,2001-03-14,2011-03-04,57.18%,12.6%,4.64%,1.2%,-22.47%,-52.39%
25,2001-03-14,2011-07-01,60.48%,13.83%,4.7%,1.26%,-22.47%,-52.39%
26,2001-03-14,2011-10-28,38.84%,9.31%,3.14%,0.84%,-22.47%,-52.39%
27,2001-03-14,2012-02-27,39.91%,16.58%,3.11%,1.41%,-22.47%,-52.39%
28,2001-03-14,2012-06-26,33.96%,12.18%,2.62%,1.02%,-22.47%,-52.39%
29,2001-03-14,2012-10-24,40.98%,19.86%,3.0%,1.57%,-22.47%,-52.39%
30,2001-03-14,2013-02-21,48.75%,27.85%,3.38%,2.08%,-22.47%,-52.39%
31,2001-03-14,2013-06-21,57.36%,35.21%,3.76%,2.49%,-22.47%,-52.39%
32,2001-03-14,2013-10-18,76.09%,48.23%,4.59%,3.17%,-22.47%,-52.39%
33,2001-03-14,2014-02-14,88.01%,56.41%,5.0%,3.52%,-22.47%,-52.39%
34,2001-03-14,2014-06-16,95.35%,65.14%,5.18%,3.85%,-22.47%,-52.39%
35,2001-03-14,2014-10-14,89.14%,59.54%,4.8%,3.5%,-22.47%,-52.39%
36,2001-03-14,2003-08-13,-13.95%,-15.82%,-6.03%,-6.88%,-22.47%,-34.79%
37,2001-03-14,2003-12-11,-5.78%,-8.26%,-2.15%,-3.09%,-22.47%,-34.79%
38,2001-03-14,2004-04-08,-0.72%,-2.79%,-0.24%,-0.92%,-22.47%,-34.79%
39,2001-03-14,2004-08-06,-10.24%,-9.18%,-3.13%,-2.79%,-22.47%,-34.79%
40,2001-03-14,2004-12-03,2.17%,1.36%,0.58%,0.36%,-22.47%,-34.79%
41,2001-03-14,2005-04-04,3.07%,-0.02%,0.75%,-0.0%,-22.47%,-34.79%
42,2001-03-14,2005-08-02,8.09%,5.73%,1.79%,1.28%,-22.47%,-34.79%
43,2001-03-14,2005-11-30,8.66%,6.6%,1.78%,1.36%,-22.47%,-34.79%
44,2001-03-14,2006-03-30,14.48%,10.33%,2.72%,1.97%,-22.47%,-34.79%
45,2001-03-14,2006-07-28,17.19%,8.78%,3.0%,1.58%,-22.47%,-34.79%
46,2001-03-14,2006-11-24,26.62%,19.29%,4.23%,3.14%,-22.47%,-34.79%
47,2001-03-14,2007-03-23,31.32%,21.88%,4.62%,3.34%,-22.47%,-34.79%
48,2001-03-14,2007-07-23,37.9%,30.87%,5.18%,4.32%,-22.47%,-34.79%
49,2001-03-14,2007-11-20,25.41%,22.94%,3.44%,3.14%,-22.47%,-34.79%
50,2001-03-14,2008-03-19,16.02%,10.77%,2.14%,1.47%,-22.47%,-34.79%
51,2001-03-14,2008-07-17,16.02%,6.42%,2.04%,0.85%,-22.47%,-34.79%
52,2001-03-14,2008-11-14,16.02%,-26.37%,1.95%,-3.91%,-22.47%,-45.72%
53,2001-03-14,2009-03-13,16.02%,-35.33%,1.87%,-5.3%,-22.47%,-52.39%
54,2001-03-14,2009-07-10,16.64%,-25.24%,1.87%,-3.43%,-22.47%,-52.39%
55,2001-03-14,2009-11-09,42.81%,-6.87%,4.2%,-0.82%,-22.47%,-52.39%
56,2001-03-14,2010-03-09,50.43%,-2.71%,4.65%,-0.31%,-22.47%,-52.39%
57,2001-03-14,2010-07-07,38.76%,-9.81%,3.58%,-1.1%,-22.47%,-52.39%
58,2001-03-14,2010-11-04,44.69%,3.92%,3.9%,0.4%,-22.47%,-52.39%
59,2001-03-14,2011-03-04,57.18%,12.6%,4.64%,1.2%,-22.47%,-52.39%
60,2001-03-14,2011-07-01,60.48%,13.83%,4.7%,1.26%,-22.47%,-52.39%
61,2001-03-14,2011-10-28,38.84%,9.31%,3.14%,0.84%,-22.47%,-52.39%
62,2001-03-14,2012-02-27,39.91%,16.58%,3.11%,1.41%,-22.47%,-52.39%
63,2001-03-14,2012-06-26,33.96%,12.18%,2.62%,1.02%,-22.47%,-52.39%
64,2001-03-14,2012-10-24,40.98%,19.86%,3.0%,1.57%,-22.47%,-52.39%
65,2001-03-14,2013-02-21,48.75%,27.85%,3.38%,2.08%,-22.47%,-52.39%
66,2001-03-14,2013-06-21,57.36%,35.21%,3.76%,2.49%,-22.47%,-52.39%
67,2001-03-14,2013-10-18,76.09%,48.23%,4.59%,3.17%,-22.47%,-52.39%
68,2001-03-14,2014-02-14,88.01%,56.41%,5.0%,3.52%,-22.47%,-52.39%
69,2001-03-14,2014-06-16,95.35%,65.14%,5.18%,3.85%,-22.47%,-52.39%
70,2001-03-14,2014-10-14,89.14%,59.54%,4.8%,3.5%,-22.47%,-52.39%
71,2001-03-14,2003-12-11,-5.78%,-8.26%,-2.15%,-3.09%,-22.47%,-34.79%
72,2001-03-14,2004-04-08,-0.72%,-2.79%,-0.24%,-0.92%,-22.47%,-34.79%
73,2001-03-14,2004-08-06,-10.24%,-9.18%,-3.13%,-2.79%,-22.47%,-34.79%
74,2001-03-14,2004-12-03,2.17%,1.36%,0.58%,0.36%,-22.47%,-34.79%
75,2001-03-14,2005-04-04,3.07%,-0.02%,0.75%,-0.0%,-22.47%,-34.79%
76,2001-03-14,2005-08-02,8.09%,5.73%,1.79%,1.28%,-22.47%,-34.79%
77,2001-03-14,2005-11-30,8.66%,6.6%,1.78%,1.36%,-22.47%,-34.79%
78,2001-03-14,2006-03-30,14.48%,10.33%,2.72%,1.97%,-22.47%,-34.79%
79,2001-03-14,2006-07-28,17.19%,8.78%,3.0%,1.58%,-22.47%,-34.79%
80,2001-03-14,2006-11-24,26.62%,19.29%,4.23%,3.14%,-22.47%,-34.79%
81,2001-03-14,2007-03-23,31.32%,21.88%,4.62%,3.34%,-22.47%,-34.79%
82,2001-03-14,2007-07-23,37.9%,30.87%,5.18%,4.32%,-22.47%,-34.79%
83,2001-03-14,2007-11-20,25.41%,22.94%,3.44%,3.14%,-22.47%,-34.79%
84,2001-03-14,2008-03-19,16.02%,10.77%,2.14%,1.47%,-22.47%,-34.79%
85,2001-03-14,2008-07-17,16.02%,6.42%,2.04%,0.85%,-22.47%,-34.79%
86,2001-03-14,2008-11-14,16.02%,-26.37%,1.95%,-3.91%,-22.47%,-45.72%
87,2001-03-14,2009-03-13,16.02%,-35.33%,1.87%,-5.3%,-22.47%,-52.39%
88,2001-03-14,2009-07-10,16.64%,-25.24%,1.87%,-3.43%,-22.47%,-52.39%
89,2001-03-14,2009-11-09,42.81%,-6.87%,4.2%,-0.82%,-22.47%,-52.39%
90,2001-03-14,2010-03-09,50.43%,-2.71%,4.65%,-0.31%,-22.47%,-52.39%
91,2001-03-14,2010-07-07,38.76%,-9.81%,3.58%,-1.1%,-22.47%,-52.39%
92,2001-03-14,2010-11-04,44.69%,3.92%,3.9%,0.4%,-22.47%,-52.39%
93,2001-03-14,2011-03-04,57.18%,12.6%,4.64%,1.2%,-22.47%,-52.39%
94,2001-03-14,2011-07-01,60.48%,13.83%,4.7%,1.26%,-22.47%,-52.39%
95,2001-03-14,2011-10-28,38.84%,9.31%,3.14%,0.84%,-22.47%,-52.39%
96,2001-03-14,2012-02-27,39.91%,16.58%,3.11%,1.41%,-22.47%,-52.39%
97,2001-03-14,2012-06-26,33.96%,12.18%,2.62%,1.02%,-22.47%,-52.39%
98,2001-03-14,2012-10-24,40.98%,19.86%,3.0%,1.57%,-22.47%,-52.39%
99,2001-03-14,2013-02-21,48.75%,27.85%,3.38%,2.08%,-22.47%,-52.39%
100,2001-03-14,2013-06-21,57.36%,35.21%,3.76%,2.49%,-22.47%,-52.39%
101,2001-03-14,2013-10-18,76.09%,48.23%,4.59%,3.17%,-22.47%,-52.39%
102,2001-03-14,2014-02-14,88.01%,56.41%,5.0%,3.52%,-22.47%,-52.39%
103,2001-03-14,2014-06-16,95.35%,65.14%,5.18%,3.85%,-22.47%,-52.39%
104,2001-03-14,2014-10-14,89.14%,59.54%,4.8%,3.5%,-22.47%,-52.39%
105,2001-03-14,2004-04-08,-0.72%,-2.79%,-0.24%,-0.92%,-22.47%,-34.79%
106,2001-03-14,2004-08-06,-10.24%,-9.18%,-3.13%,-2.79%,-22.47%,-34.79%
107,2001-03-14,2004-12-03,2.17%,1.36%,0.58%,0.36%,-22.47%,-34.79%
108,2001-03-14,2005-04-04,3.07%,-0.02%,0.75%,-0.0%,-22.47%,-34.79%
109,2001-03-14,2005-08-02,8.09%,5.73%,1.79%,1.28%,-22.47%,-34.79%
110,2001-03-14,2005-11-30,8.66%,6.6%,1.78%,1.36%,-22.47%,-34.79%
111,2001-03-14,2006-03-30,14.48%,10.33%,2.72%,1.97%,-22.47%,-34.79%
112,2001-03-14,2006-07-28,17.19%,8.78%,3.0%,1.58%,-22.47%,-34.79%
113,2001-03-14,2006-11-24,26.62%,19.29%,4.23%,3.14%,-22.47%,-34.79%
114,2001-03-14,2007-03-23,31.32%,21.88%,4.62%,3.34%,-22.47%,-34.79%
115,2001-03-14,2007-07-23,37.9%,30.87%,5.18%,4.32%,-22.47%,-34.79%
116,2001-03-14,2007-11-20,25.41%,22.94%,3.44%,3.14%,-22.47%,-34.79%
117,2001-03-14,2008-03-19,16.02%,10.77%,2.14%,1.47%,-22.47%,-34.79%
118,2001-03-14,2008-07-17,16.02%,6.42%,2.04%,0.85%,-22.47%,-34.79%
119,2001-03-14,2008-11-14,16.02%,-26.37%,1.95%,-3.91%,-22.47%,-45.72%
120,2001-03-14,2009-03-13,16.02%,-35.33%,1.87%,-5.3%,-22.47%,-52.39%
121,2001-03-14,2009-07-10,16.64%,-25.24%,1.87%,-3.43%,-22.47%,-52.39%
122,2001-03-14,2009-11-09,42.81%,-6.87%,4.2%,-0.82%,-22.47%,-52.39%
123,2001-03-14,2010-03-09,50.43%,-2.71%,4.65%,-0.31%,-22.47%,-52.39%
124,2001-03-14,2010-07-07,38.76%,-9.81%,3.58%,-1.1%,-22.47%,-52.39%
125,2001-03-14,2010-11-04,44.69%,3.92%,3.9%,0.4%,-22.47%,-52.39%
126,2001-03-14,2011-03-04,57.18%,12.6%,4.64%,1.2%,-22.47%,-52.39%
127,2001-03-14,2011-07-01,60.48%,13.83%,4.7%,1.26%,-22.47%,-52.39%
128,2001-03-14,2011-10-28,38.84%,9.31%,3.14%,0.84%,-22.47%,-52.39%
129,2001-03-14,2012-02-27,39.91%,16.58%,3.11%,1.41%,-22.47%,-52.39%
130,2001-03-14,2012-06-26,33.96%,12.18%,2.62%,1.02%,-22.47%,-52.39%
131,2001-03-14,2012-10-24,40.98%,19.86%,3.0%,1.57%,-22.47%,-52.39%
132,2001-03-14,2013-02-21,48.75%,27.85%,3.38%,2.08%,-22.47%,-52.39%
133,2001-03-14,2013-06-21,57.36%,35.21%,3.76%,2.49%,-22.47%,-52.39%
134,2001-03-14,2013-10-18,76.09%,48.23%,4.59%,3.17%,-22.47%,-52.39%
135,2001-03-14,2014-02-14,88.01%,56.41%,5.0%,3.52%,-22.47%,-52.39%
136,2001-03-14,2014-06-16,95.35%,65.14%,5.18%,3.85%,-22.47%,-52.39%
137,2001-03-14,2014-10-14,89.14%,59.54%,4.8%,3.5%,-22.47%,-52.39%
138,2001-04-25,2004-08-06,-14.04%,-13.25%,-4.5%,-4.23%,-22.47%,-34.79%
139,2001-04-25,2004-12-03,-2.15%,-3.18%,-0.6%,-0.89%,-22.47%,-34.79%
140,2001-04-25,2005-04-04,-1.3%,-4.5%,-0.33%,-1.16%,-22.47%,-34.79%
141,2001-04-25,2005-08-02,3.52%,0.99%,0.81%,0.23%,-22.47%,-34.79%
142,2001-04-25,2005-11-30,4.06%,1.82%,0.87%,0.39%,-22.47%,-34.79%
143,2001-04-25,2006-03-30,9.64%,5.38%,1.88%,1.07%,-22.47%,-34.79%
144,2001-04-25,2006-07-28,12.23%,3.91%,2.22%,0.73%,-22.47%,-34.79%
145,2001-04-25,2006-11-24,21.26%,13.95%,3.51%,2.36%,-22.47%,-34.79%
146,2001-04-25,2007-03-23,25.76%,16.42%,3.95%,2.6%,-22.47%,-34.79%
147,2001-04-25,2007-07-23,32.06%,25.01%,4.55%,3.64%,-22.47%,-34.79%
148,2001-04-25,2007-11-20,20.11%,17.43%,2.83%,2.47%,-22.47%,-34.79%
149,2001-04-25,2008-03-19,11.11%,5.8%,1.54%,0.82%,-22.47%,-34.79%
150,2001-04-25,2008-07-17,11.11%,1.65%,1.47%,0.23%,-22.47%,-34.79%
151,2001-04-25,2008-11-14,11.11%,-29.67%,1.4%,-4.55%,-22.47%,-45.72%
152,2001-04-25,2009-03-13,11.11%,-38.22%,1.34%,-5.92%,-22.47%,-52.39%
153,2001-04-25,2009-07-10,11.71%,-28.59%,1.36%,-4.02%,-22.47%,-52.39%
154,2001-04-25,2009-11-09,36.77%,-11.04%,3.73%,-1.36%,-22.47%,-52.39%
155,2001-04-25,2010-03-09,44.07%,-7.07%,4.2%,-0.82%,-22.47%,-52.39%
156,2001-04-25,2010-07-07,32.89%,-13.85%,3.14%,-1.61%,-22.47%,-52.39%
157,2001-04-25,2010-11-04,38.56%,-0.74%,3.48%,-0.08%,-22.47%,-52.39%
158,2001-04-25,2011-03-04,50.53%,7.55%,4.23%,0.74%,-22.47%,-52.39%
159,2001-04-25,2011-07-01,53.69%,8.73%,4.31%,0.82%,-22.47%,-52.39%
160,2001-04-25,2011-10-28,32.97%,4.41%,2.75%,0.41%,-22.47%,-52.39%
161,2001-04-25,2012-02-27,33.99%,11.36%,2.73%,1.0%,-22.47%,-52.39%
162,2001-04-25,2012-06-26,28.29%,7.15%,2.25%,0.62%,-22.47%,-52.39%
163,2001-04-25,2012-10-24,35.01%,14.49%,2.64%,1.18%,-22.47%,-52.39%
164,2001-04-25,2013-02-21,42.46%,22.12%,3.04%,1.7%,-22.47%,-52.39%
165,2001-04-25,2013-06-21,50.7%,29.15%,3.43%,2.12%,-22.47%,-52.39%
166,2001-04-25,2013-10-18,68.64%,41.58%,4.27%,2.82%,-22.47%,-52.39%
167,2001-04-25,2014-02-14,80.05%,49.4%,4.7%,3.18%,-22.47%,-52.39%
168,2001-04-25,2014-06-16,87.09%,57.74%,4.88%,3.53%,-22.47%,-52.39%
169,2001-04-25,2014-10-14,81.14%,52.39%,4.51%,3.17%,-22.47%,-52.39%
170,2001-08-23,2004-12-03,-1.11%,2.27%,-0.34%,0.69%,-21.62%,-33.6%
171,2001-08-23,2005-04-04,-0.25%,0.88%,-0.07%,0.24%,-21.62%,-33.6%
172,2001-08-23,2005-08-02,4.62%,6.68%,1.15%,1.65%,-21.62%,-33.6%
173,2001-08-23,2005-11-30,5.16%,7.56%,1.18%,1.72%,-21.62%,-33.6%
174,2001-08-23,2006-03-30,10.8%,11.32%,2.25%,2.36%,-21.62%,-33.6%
175,2001-08-23,2006-07-28,13.42%,9.76%,2.59%,1.91%,-21.62%,-33.6%
176,2001-08-23,2006-11-24,22.55%,20.37%,3.94%,3.59%,-21.62%,-33.6%
177,2001-08-23,2007-03-23,27.1%,22.98%,4.39%,3.77%,-21.62%,-33.6%
178,2001-08-23,2007-07-23,33.46%,32.05%,5.0%,4.81%,-21.62%,-33.6%
179,2001-08-23,2007-11-20,21.38%,24.05%,3.15%,3.51%,-21.62%,-33.6%
180,2001-08-23,2008-03-19,12.29%,11.77%,1.78%,1.71%,-21.62%,-33.6%
181,2001-08-23,2008-07-17,12.29%,7.38%,1.69%,1.04%,-21.62%,-33.6%
182,2001-08-23,2008-11-14,12.29%,-25.71%,1.62%,-4.03%,-21.62%,-45.72%
183,2001-08-23,2009-03-13,12.29%,-34.74%,1.55%,-5.49%,-21.62%,-52.39%
184,2001-08-23,2009-07-10,12.89%,-24.56%,1.55%,-3.51%,-21.62%,-52.39%
185,2001-08-23,2009-11-09,38.22%,-6.03%,4.02%,-0.75%,-21.62%,-52.39%
186,2001-08-23,2010-03-09,45.59%,-1.84%,4.49%,-0.22%,-21.62%,-52.39%
187,2001-08-23,2010-07-07,34.3%,-9.0%,3.38%,-1.06%,-21.62%,-52.39%
188,2001-08-23,2010-11-04,40.03%,4.85%,3.73%,0.52%,-21.62%,-52.39%
189,2001-08-23,2011-03-04,52.12%,13.61%,4.5%,1.35%,-21.62%,-52.39%
190,2001-08-23,2011-07-01,55.32%,14.85%,4.57%,1.41%,-21.62%,-52.39%
191,2001-08-23,2011-10-28,34.38%,10.29%,2.94%,0.97%,-21.62%,-52.39%
192,2001-08-23,2012-02-27,35.41%,17.63%,2.92%,1.56%,-21.62%,-52.39%
193,2001-08-23,2012-06-26,29.65%,13.19%,2.42%,1.15%,-21.62%,-52.39%
194,2001-08-23,2012-10-24,36.44%,20.94%,2.82%,1.72%,-21.62%,-52.39%
195,2001-08-23,2013-02-21,43.97%,29.01%,3.22%,2.24%,-21.62%,-52.39%
196,2001-08-23,2013-06-21,52.3%,36.42%,3.62%,2.66%,-21.62%,-52.39%
197,2001-08-23,2013-10-18,70.43%,49.56%,4.48%,3.37%,-21.62%,-52.39%
198,2001-08-23,2014-02-14,81.96%,57.82%,4.91%,3.72%,-21.62%,-52.39%
199,2001-08-23,2014-06-16,89.07%,66.63%,5.09%,4.06%,-21.62%,-52.39%
200,2001-08-23,2014-10-14,83.06%,60.98%,4.71%,3.69%,-21.62%,-52.39%
201,2001-12-21,2005-04-04,1.95%,2.33%,0.59%,0.7%,-21.62%,-31.44%
202,2001-12-21,2005-08-02,6.92%,8.21%,1.87%,2.21%,-21.62%,-31.44%
203,2001-12-21,2005-11-30,7.48%,9.1%,1.85%,2.23%,-21.62%,-31.44%
204,2001-12-21,2006-03-30,13.24%,12.92%,2.95%,2.88%,-21.62%,-31.44%
205,2001-12-21,2006-07-28,15.92%,11.34%,3.26%,2.36%,-21.62%,-31.44%
206,2001-12-21,2006-11-24,25.25%,22.1%,4.67%,4.13%,-21.62%,-31.44%
207,2001-12-21,2007-03-23,29.9%,24.74%,5.1%,4.3%,-21.62%,-31.44%
208,2001-12-21,2007-07-23,36.4%,33.95%,5.71%,5.37%,-21.62%,-31.44%
209,2001-12-21,2007-11-20,24.06%,25.83%,3.71%,3.96%,-21.62%,-31.44%
210,2001-12-21,2008-03-19,14.76%,13.37%,2.23%,2.03%,-21.62%,-31.44%
211,2001-12-21,2008-07-17,14.76%,8.92%,2.12%,1.31%,-21.62%,-31.44%
212,2001-12-21,2008-11-14,14.76%,-24.65%,2.01%,-4.02%,-21.62%,-45.72%
213,2001-12-21,2009-03-13,14.76%,-33.81%,1.92%,-5.55%,-21.62%,-52.39%
214,2001-12-21,2009-07-10,15.38%,-23.48%,1.91%,-3.48%,-21.62%,-52.39%
215,2001-12-21,2009-11-09,41.26%,-4.68%,4.48%,-0.61%,-21.62%,-52.39%
216,2001-12-21,2010-03-09,48.8%,-0.43%,4.95%,-0.05%,-21.62%,-52.39%
217,2001-12-21,2010-07-07,37.26%,-7.69%,3.77%,-0.93%,-21.62%,-52.39%
218,2001-12-21,2010-11-04,43.12%,6.36%,4.12%,0.7%,-21.62%,-52.39%
219,2001-12-21,2011-03-04,55.48%,15.24%,4.91%,1.55%,-21.62%,-52.39%
220,2001-12-21,2011-07-01,58.74%,16.5%,4.97%,1.62%,-21.62%,-52.39%
221,2001-12-21,2011-10-28,37.34%,11.87%,3.27%,1.14%,-21.62%,-52.39%
222,2001-12-21,2012-02-27,38.39%,19.32%,3.24%,1.75%,-21.62%,-52.39%
223,2001-12-21,2012-06-26,32.51%,14.82%,2.71%,1.32%,-21.62%,-52.39%
224,2001-12-21,2012-10-24,39.45%,22.68%,3.11%,1.9%,-21.62%,-52.39%
225,2001-12-21,2013-02-21,47.14%,30.86%,3.52%,2.44%,-21.62%,-52.39%
226,2001-12-21,2013-06-21,55.65%,38.38%,3.92%,2.86%,-21.62%,-52.39%
227,2001-12-21,2013-10-18,74.19%,51.71%,4.8%,3.59%,-21.62%,-52.39%
228,2001-12-21,2014-02-14,85.97%,60.09%,5.24%,3.95%,-21.62%,-52.39%
229,2001-12-21,2014-06-16,93.24%,69.02%,5.41%,4.29%,-21.62%,-52.39%
230,2001-12-21,2014-10-14,87.09%,63.29%,5.01%,3.9%,-21.62%,-52.39%
231,2002-04-22,2005-08-02,6.92%,12.06%,2.06%,3.53%,-21.62%,-20.5%
232,2002-04-22,2005-11-30,7.48%,12.98%,2.02%,3.44%,-21.62%,-20.5%
233,2002-04-22,2006-03-30,13.24%,16.94%,3.21%,4.05%,-21.62%,-20.5%
234,2002-04-22,2006-07-28,15.92%,15.3%,3.52%,3.39%,-21.62%,-20.5%
235,2002-04-22,2006-11-24,25.25%,26.44%,5.02%,5.24%,-21.62%,-20.5%
236,2002-04-22,2007-03-23,29.9%,29.18%,5.46%,5.34%,-21.62%,-20.5%
237,2002-04-22,2007-07-23,36.4%,38.71%,6.09%,6.43%,-21.62%,-20.5%
238,2002-04-22,2007-11-20,24.06%,30.31%,3.94%,4.86%,-21.62%,-20.5%
239,2002-04-22,2008-03-19,14.76%,17.41%,2.36%,2.75%,-21.62%,-20.5%
240,2002-04-22,2008-07-17,14.76%,12.79%,2.23%,1.95%,-21.62%,-22.68%
241,2002-04-22,2008-11-14,14.76%,-21.96%,2.12%,-3.7%,-21.62%,-45.72%
242,2002-04-22,2009-03-13,14.76%,-31.45%,2.02%,-5.33%,-21.62%,-52.39%
243,2002-04-22,2009-07-10,15.38%,-20.76%,2.0%,-3.17%,-21.62%,-52.39%
244,2002-04-22,2009-11-09,41.26%,-1.29%,4.68%,-0.17%,-21.62%,-52.39%
245,2002-04-22,2010-03-09,48.8%,3.12%,5.17%,0.39%,-21.62%,-52.39%
246,2002-04-22,2010-07-07,37.26%,-4.41%,3.93%,-0.55%,-21.62%,-52.39%
247,2002-04-22,2010-11-04,43.12%,10.14%,4.29%,1.14%,-21.62%,-52.39%
248,2002-04-22,2011-03-04,55.48%,19.34%,5.1%,2.01%,-21.62%,-52.39%
249,2002-04-22,2011-07-01,58.74%,20.65%,5.15%,2.06%,-21.62%,-52.39%
250,2002-04-22,2011-10-28,37.34%,15.86%,3.39%,1.56%,-21.62%,-52.39%
251,2002-04-22,2012-02-27,38.39%,23.57%,3.35%,2.17%,-21.62%,-52.39%
252,2002-04-22,2012-06-26,32.51%,18.9%,2.8%,1.71%,-21.62%,-52.39%
253,2002-04-22,2012-10-24,39.45%,27.05%,3.21%,2.3%,-21.62%,-52.39%
254,2002-04-22,2013-02-21,47.14%,35.51%,3.63%,2.84%,-21.62%,-52.39%
255,2002-04-22,2013-06-21,55.65%,43.31%,4.04%,3.27%,-21.62%,-52.39%
256,2002-04-22,2013-10-18,74.19%,57.11%,4.94%,4.01%,-21.62%,-52.39%
257,2002-04-22,2014-02-14,85.97%,65.78%,5.39%,4.37%,-21.62%,-52.39%
258,2002-04-22,2014-06-16,93.24%,75.04%,5.57%,4.71%,-21.62%,-52.39%
259,2002-04-22,2014-10-14,87.09%,69.1%,5.14%,4.3%,-21.62%,-52.39%
260,2002-08-19,2005-11-30,32.06%,31.46%,8.83%,8.68%,-11.5%,-8.19%
261,2002-08-19,2006-03-30,39.14%,36.06%,9.57%,8.89%,-11.5%,-8.19%
262,2002-08-19,2006-07-28,42.43%,34.15%,9.39%,7.74%,-11.5%,-8.19%
263,2002-08-19,2006-11-24,53.89%,47.12%,10.63%,9.47%,-11.5%,-8.19%
264,2002-08-19,2007-03-23,59.6%,50.3%,10.71%,9.27%,-11.5%,-8.19%
265,2002-08-19,2007-07-23,67.6%,61.39%,11.05%,10.2%,-11.5%,-8.19%
266,2002-08-19,2007-11-20,52.43%,51.61%,8.35%,8.24%,-11.5%,-9.05%
267,2002-08-19,2008-03-19,41.01%,36.6%,6.35%,5.74%,-19.46%,-18.2%
268,2002-08-19,2008-07-17,41.01%,31.24%,5.98%,4.7%,-19.46%,-22.68%
269,2002-08-19,2008-11-14,41.01%,-9.2%,5.66%,-1.53%,-19.46%,-45.72%
270,2002-08-19,2009-03-13,41.01%,-20.24%,5.37%,-3.38%,-19.46%,-52.39%
271,2002-08-19,2009-07-10,41.76%,-7.8%,5.19%,-1.17%,-19.46%,-52.39%
272,2002-08-19,2009-11-09,73.57%,14.85%,7.92%,1.93%,-19.46%,-52.39%
273,2002-08-19,2010-03-09,82.83%,19.98%,8.31%,2.44%,-19.46%,-52.39%
274,2002-08-19,2010-07-07,68.65%,11.23%,6.85%,1.36%,-19.46%,-52.39%
275,2002-08-19,2010-11-04,75.85%,28.16%,7.11%,3.07%,-19.46%,-52.39%
276,2002-08-19,2011-03-04,91.03%,38.86%,7.87%,3.92%,-19.46%,-52.39%
277,2002-08-19,2011-07-01,95.04%,40.38%,7.82%,3.9%,-19.46%,-52.39%
278,2002-08-19,2011-10-28,68.74%,34.8%,5.85%,3.3%,-19.46%,-52.39%
279,2002-08-19,2012-02-27,70.04%,43.77%,5.73%,3.88%,-19.46%,-52.39%
280,2002-08-19,2012-06-26,62.81%,38.34%,5.07%,3.35%,-19.52%,-52.39%
281,2002-08-19,2012-10-24,71.34%,47.82%,5.43%,3.91%,-19.52%,-52.39%
282,2002-08-19,2013-02-21,80.79%,57.67%,5.79%,4.42%,-19.52%,-52.39%
283,2002-08-19,2013-06-21,91.25%,66.74%,6.16%,4.83%,-19.52%,-52.39%
284,2002-08-19,2013-10-18,114.02%,82.8%,7.05%,5.55%,-19.52%,-52.39%
285,2002-08-19,2014-02-14,128.51%,92.89%,7.45%,5.88%,-19.52%,-52.39%
